"Time","Frequency (Hz)","Level (dBµV)","Level_1 (dBµV)","Level_2 (dBµV)","Level_3 (dBµV)","Value Count","File Info"
"10/12/2021  15:35:00.000","  2300000000","  67.8","-1e+040","  67.8","  67.8","1","Process Measurement Result Files: MaxHold"
"10/12/2021  15:35:00.000","  2300050000","  66.8","-1e+040","  66.8","  66.8","1","Meas. Result Properties:"
"10/12/2021  15:35:00.000","  2300100000","  67.0","-1e+040","  67.0","  67.0","1"," Start Date: 10/12/2021"
"10/12/2021  15:35:00.000","  2300150000","  66.4","-1e+040","  66.4","  66.4","1"," Start Time: 2:50:00 PM"
"10/12/2021  15:35:00.000","  2300200000","  66.8","-1e+040","  66.8","  66.8","1"," Stop Date: 10/12/2021"
"10/12/2021  15:35:00.000","  2300250000","  67.2","-1e+040","  67.2","  67.2","1"," Stop Time: 3:35:00 PM"
"10/12/2021  15:35:00.000","  2300300000","  66.4","-1e+040","  66.4","  66.4","1"," Number of Measurements: 10"
"10/12/2021  15:35:00.000","  2300350000","  66.9","-1e+040","  66.9","  66.9","1","Columns: Time"
"10/12/2021  15:35:00.000","  2300400000","  67.7","-1e+040","  67.7","  67.7","1"," Frequency"
"10/12/2021  15:35:00.000","  2300450000","  67.1","-1e+040","  67.1","  67.1","1"," Level, Mean"
"10/12/2021  15:35:00.000","  2300500000","  66.0","-1e+040","  66.0","  66.0","1"," Level, StdDev"
"10/12/2021  15:35:00.000","  2300550000","  66.9","-1e+040","  66.9","  66.9","1"," Level, Min"
"10/12/2021  15:35:00.000","  2300600000","  66.8","-1e+040","  66.8","  66.8","1"," Level, Max"
"10/12/2021  15:35:00.000","  2300650000","  66.7","-1e+040","  66.7","  66.7","1"," "
"10/12/2021  15:35:00.000","  2300700000","  67.1","-1e+040","  67.1","  67.1","1","Source:"
"10/12/2021  15:35:00.000","  2300750000","  59.6","-1e+040","  59.6","  59.6","1","Measurement Result: 007-18"
"10/12/2021  15:35:00.000","  2300800000","  59.7","-1e+040","  59.7","  59.7","1"," "
"10/12/2021  15:35:00.000","  2300850000","  60.4","-1e+040","  60.4","  60.4","1","File Info: 007-18"
"10/12/2021  15:35:00.000","  2300900000","  60.5","-1e+040","  60.5","  60.5","1","Process Measurement Result Files: Compressed Measurement Result"
"10/12/2021  15:35:00.000","  2300950000","  62.7","-1e+040","  62.7","  62.7","1","Meas. Result Properties:"
"10/12/2021  15:05:00.000","  2301000000","  68.6","  13.3","  23.4","  81.6","54"," Start Date: 10/12/2021"
