"Time","Frequency (Hz)","Level (dBµV/m)","Level_1 (dBµV/m)","Level_2 (dBµV/m)","Level_3 (dBµV/m)","Value Count","File Info"
"10/12/2021  10:50:00.000","    87500000","  12.4","   2.7","  11.8","  35.0","76","Process Measurement Result Files: MaxHold"
"10/12/2021  10:50:00.000","    87525000","  13.2","   2.0","  12.8","  30.7","76","Meas. Result Properties:"
"10/12/2021  10:50:00.000","    87550000","  11.0","   0.7","  10.6","  16.5","76"," Start Date: 10/12/2021"
"10/12/2021  10:50:00.000","    87575000","  10.7","   0.1","  10.4","  11.1","76"," Start Time: 10:40:00 AM"
"10/12/2021  10:50:00.000","    87600000","  11.8","   0.1","  11.6","  12.2","76"," Stop Date: 10/12/2021"
"10/12/2021  10:50:00.000","    87625000","  13.4","   0.1","  13.2","  13.7","76"," Stop Time: 12:40:00 PM"
"10/12/2021  10:50:00.000","    87650000","  14.3","   0.1","  14.1","  14.6","76"," Number of Measurements: 13"
"10/12/2021  11:40:00.000","    87675000","  12.4","   0.8","  11.1","  14.5","76","Columns: Time"
"10/12/2021  11:40:00.000","    87700000","  14.2","   2.0","   9.9","  18.3","76"," Frequency"
"10/12/2021  11:40:00.000","    87725000","  19.1","   2.6","  10.8","  23.3","76"," Level, Mean"
"10/12/2021  11:40:00.000","    87750000","  27.8","   1.5","  22.6","  30.3","76"," Level, StdDev"
"10/12/2021  11:20:00.000","    87775000","  37.3","   0.3","  36.7","  38.0","76"," Level, Min"
"10/12/2021  11:20:00.000","    87800000","  41.1","   0.5","  39.2","  42.0","76"," Level, Max"
"10/12/2021  11:20:00.000","    87825000","  37.5","   0.2","  37.0","  38.0","76"," "
"10/12/2021  11:40:00.000","    87850000","  28.3","   1.5","  23.1","  31.0","76","Source:"
"10/12/2021  11:40:00.000","    87875000","  20.5","   2.6","  12.5","  24.7","76","Measurement Result: 007-6"
"10/12/2021  11:40:00.000","    87900000","  16.6","   1.8","  13.0","  20.7","76"," "
"10/12/2021  11:40:00.000","    87925000","  13.9","   1.0","  12.2","  16.3","76","File Info: 007-6"
"10/12/2021  10:40:00.000","    87950000","  13.4","   0.2","  12.6","  13.9","40","Process Measurement Result Files: Compressed Measurement Result"
"10/12/2021  10:40:00.000","    87975000","  12.1","   0.2","  11.7","  12.5","40","Meas. Result Properties:"
"10/12/2021  10:40:00.000","    88000000","  11.1","   0.2","  10.7","  11.7","40"," Start Date: 10/12/2021"
"10/12/2021  10:50:00.000","    88025000","  11.1","   0.2","  10.9","  11.7","76"," Start Time: 10:34:45 AM"
"10/12/2021  12:40:00.000","    88050000","  12.3","   1.1","  10.9","  15.3","54"," Stop Date: 10/12/2021"
"10/12/2021  12:40:00.000","    88075000","  12.2","   1.0","  10.9","  15.0","54"," Stop Time: 12:37:00 PM"
"10/12/2021  10:50:00.000","    88100000","  10.8","   0.2","  10.6","  11.4","76"," Number of Measurements: 929"
"10/12/2021  10:50:00.000","    88125000","  13.3","   0.1","  13.2","  13.7","76","Columns: Time"
"10/12/2021  10:50:00.000","    88150000","  12.4","   0.1","  12.3","  12.9","76"," Frequency"
